PPL	PPL-1TB	PPL-10TB	D	E

ppl-default	24.8228	39.9196	138.747	268.727

ppl-term	25.1752	47.5166	139.97	270.351

ppl-range	50.2271	85.8094	211.62	389.664

ppl-asc-sort-timestamp-can-match-shortcut	50.0239	76.6914	212.554	343.898

ppl-asc-sort-timestamp-no-can-match-shortcut	47.0557	74.7909	205.435	373.926

ppl-asc-sort-timestamp	26.1228	63.3952	181.421	366.475

ppl-asc-sort-with-after-timestamp	18.5151	60.8635	190.023	354.768

ppl-composite-date-histogram-daily	612.534	6208.73	6937.67	7812.81

ppl-composite-terms-keyword	141.697	1443.46	4945.68	9375.35

ppl-composite-terms	102.585	814.361	1229.41	1543.53

ppl-date-histogram-hourly-agg	7206.23	67896.3	74297.1	76339.1

ppl-date-histogram-minute-agg	219.146	1822.84	3187.84	5002.61

ppl-desc-sort-timestamp-can-match-shortcut	37.1428	86.7601	218.744	354.527

ppl-desc-sort-timestamp-no-can-match-shortcut	35.6876	85.6	207.493	347.412

ppl-desc-sort-timestamp	42.111	108.37	240.326	397.494

ppl-desc-sort-with-after-timestamp	31.1501	106.389	271.69	384.797

ppl-keyword-in-range	64.7078	110.255	248.055	372.379

ppl-keyword-terms-low-cardinality	5095.98	49391	55829.3	56322.8

ppl-keyword-terms	5141.91	49769.8	56174.4	56453.8

ppl-multi-terms-keyword	75.664	501.502	927.866	1550.51

ppl-query-string-on-message-filtered-sorted-num	69.6353	126.244	269.52	573.78

ppl-query-string-on-message-filtered	46.9962	92.0987	216.453	503.948

ppl-query-string-on-message	30.828	62.4725	187.633	329.98

ppl-range-auto-date-histo-with-metrics	40801.2	300078	300101	300000

ppl-range-auto-date-histo	38120	300097	300095	300000

ppl-range-field-conjunction-big-range-big-term-query	19.094	130.343	277.413	563.401

ppl-range-field-conjunction-small-range-big-term-query	21.4802	137.78	278.687	470.53

ppl-range-field-conjunction-small-range-small-term-query	31.8311	168.195	378.581	709.362

ppl-range-field-disjunction-big-range-small-term-query	26.9725	181.787	368.924	694.506

ppl-range-numeric	16.4405	152.438	283.661	555.735

ppl-range-with-asc-sort	49.3112	273.01	1489.453	1542.36

ppl-range-with-desc-sort	198.928	1577.06	2852.01	3779

ppl-scroll	12.9675	90.0535	251.443	354.663

ppl-sort-keyword-can-match-shortcut	33.8374	190.644	353.947	595.414

ppl-sort-keyword-no-can-match-shortcut	37.4348	163.985	260.545	343.187

ppl-sort-numeric-asc-with-match	31.0631	166.681	279.768	357.368

ppl-sort-numeric-asc	21.7312	143.184	212.051	353.437

ppl-sort-numeric-desc-with-match	28.2823	162.24	204.383	340.993

ppl-sort-numeric-desc	20.1512	119.866	177.699	333.392

ppl-terms-significant-1	275.412	2587.98	3584.12	5773.4

ppl-terms-significant-2	235.886	1986.89	2502.76	2567.54
